isolate.code,isolation.longitude.cor,isolation.latitude.cor,Thab.past,Thab.fut,Thab.change,safety_margin,warming_tolerance,growth.eq,DGE
7,62,-58,2.250212368,4.068143757,1.817931389,8.534077052,14.06433795,14.90790462,12.65769225
8,62,-58,2.250212368,4.068143757,1.817931389,0.854334507,4.709611636,3.850404817,1.60019245
9,62,-58,2.250212368,4.068143757,1.817931389,2.291399364,8.095398932,6.357940439,4.107728072
10,62,-58,2.250212368,4.068143757,1.817931389,1.447836172,5.741646506,4.881819964,2.631607597
11,62,-58,2.250212368,4.068143757,1.817931389,1.998490031,6.816178993,6.13596986,3.885757493
12,62,-58,2.250212368,4.068143757,1.817931389,1.26416311,5.79127061,4.581242793,2.331030426
13,62,-58,2.250212368,4.068143757,1.817931389,2.264667468,5.804526856,6.098739138,3.848526771
14,168.12,-46.98,10.91092006,13.3121529,2.401232836,11.75298309,19.08961407,29.70325561,18.79233554
15,169.5,-42.18,13.97822675,17.0214081,3.043181345,7.136156276,12.55257346,24.95568803,10.97746128
24,174.81,-36.3,17.34855308,20.50225884,3.15370576,4.946358788,12.78870357,26.05117153,8.702618453
26,17.18,-34.28,18.30623307,20.69486707,2.388634,-2.840903441,6.626034479,18.30621152,0
30,31.02,-29.82,22.60295868,24.68494034,2.081981659,0.979779941,8.752237631,24.51022234,1.907263659
33,14,-23,21.72946495,24.96970176,3.240236806,-3.225218233,3.258562677,21.72947039,0
40,130.8,-12.48,28.78853092,32.26031639,3.471785466,-5.569936109,8.865311331,28.78854193,0
41,130.8,-12.48,28.78853092,32.26031639,3.471785466,-8.474572689,1.170973951,28.78852752,0
45,331.42,-11.54,25.85828466,28.74664396,2.888359293,-2.020328072,6.674513548,25.85828458,0
49,308,5,26.61870924,29.66751742,3.048808174,0.524773697,9.614439997,27.65587479,1.037165543
50,308,5,26.61870924,29.66751742,3.048808174,2.953744007,7.439281067,31.64162257,5.022913328
51,306,6,26.8013623,29.79607696,2.994714659,1.197477558,8.720260778,29.0858953,2.284532999
52,306,6,26.8013623,29.79607696,2.994714659,0.050555528,8.047462048,26.90295327,0.101590969
53,306,6,26.8013623,29.79607696,2.994714659,-5.596583772,8.578280818,26.80136149,0
54,306,6,26.8013623,29.79607696,2.994714659,-2.772985342,7.706693498,26.80133533,0
55,306,6,26.8013623,29.79607696,2.994714659,-1.046119682,9.456042178,26.80135262,0
56,306,6,26.8013623,29.79607696,2.994714659,2.592936098,7.263953318,31.3086136,4.507251299
57,306,6,26.8013623,29.79607696,2.994714659,0.213541568,7.274030878,27.22296678,0.421604474
58,116.08,6,28.53784763,31.31931406,2.781466427,0.751446176,8.269885016,30.02661956,1.488771928
61,307.5,8.71,26.75580413,29.73283752,2.977033391,-0.205558608,5.268008092,26.75579199,0
63,270.76,9.81,27.54272959,30.78107705,3.238347452,-1.554494324,4.790320656,27.54272778,0
68,263.02,14.67,27.25818991,30.4062502,3.148060286,-2.263297725,5.766286495,27.25817439,0
81,118.11,24.49,23.44511223,26.35410118,2.908988953,3.492959492,10.76348426,29.70700653,6.2618943
82,118.11,24.49,23.44511223,26.35410118,2.908988953,0.897329242,9.256420742,25.20247574,1.757363513
83,280.02,25.69,25.77497306,28.9815811,3.206608042,1.438662642,8.357678302,28.50637368,2.731400623
85,248.2,26.65,24.63910723,27.72408789,3.084980661,-0.450507611,8.098616809,24.63907688,0
86,277.58,27.01,25.05506436,28.13618403,3.081119663,-4.420852852,4.511726608,25.05503612,0
87,245,27.5,22.16465533,25.00556578,2.840910451,-0.110891155,11.49836606,22.1646429,0
89,292.61,28.5,23.59746735,26.96100733,3.363539976,3.172709289,10.84885844,29.44235053,5.844883183
90,50.75,28.9,23.10894048,26.83311805,3.724177569,5.099129613,10.88474893,31.53786252,8.428922042
91,50.75,28.9,23.10894048,26.83311805,3.724177569,1.890492243,13.4252716,26.83609216,3.727151678
93,50.75,28.9,23.10894048,26.83311805,3.724177569,4.502927343,10.7999009,30.89284716,7.783906686
94,295.65,28.98,23.3642616,26.75352265,3.389261042,-0.103187723,4.676610157,23.36424588,0
97,275.02,29.71,23.41511876,27.02851415,3.613395393,0.333412313,7.999791363,24.07267441,0.657555651
106,298,32,22.19031,25.45419381,3.263883811,2.0707206,8.1540454,25.9731208,3.782810798
107,295.5,32.17,22.27162332,25.50468699,3.23306367,-1.01640275,6.36933152,22.2716231,0
109,295.3,32.3,22.24500357,25.46652577,3.221522201,7.984843262,13.69877596,34.3172127,12.07220913
110,295.3,32.3,22.24500357,25.46652577,3.221522201,5.055881502,15.08553166,31.52287353,9.277869967
116,242.74,32.87,19.37188042,22.1571771,2.78529669,4.010119965,10.72116465,26.49462349,7.12274307
117,128.26,32.93,19.33026807,23.02262117,3.692353104,8.855811949,15.62499892,33.21683339,13.88656532
119,129.08,33.03,19.15856063,22.93244504,3.77388441,8.564381507,14.59036871,32.14750878,12.98894814
123,131.34,33.81,19.17363839,22.91932949,3.745691101,6.946009937,12.42550799,29.87704563,10.70340724
132,134.58,34.5,18.60840007,22.03530192,3.426901851,4.334709992,10.11682844,25.83036209,7.221962026
138,139.35,35.15,19.25697375,22.67884455,3.421870793,5.392844558,12.7121042,28.67045541,9.413481657
139,139.35,35.15,19.25697375,22.67884455,3.421870793,6.237813748,12.68745242,29.56769361,10.31071986
140,139.35,35.15,19.25697375,22.67884455,3.421870793,5.158927878,15.69007931,29.90289559,10.64592184
146,140,35.5,18.92923059,22.373276,3.444045415,4.134767881,15.96349515,26.67746752,7.748236934
169,238.11,36.61,17.20120128,20.02308572,2.821884442,0.739907625,12.26946031,18.683586,1.482384725
170,238.11,36.61,17.20120128,20.02308572,2.821884442,-0.249568385,7.649827785,17.20121926,0
171,238.11,36.61,17.20120128,20.02308572,2.821884442,6.355942605,12.85073391,27.59159942,10.39039814
173,283.15,37.8,19.69099482,23.14107194,3.450077113,7.899672628,16.10883963,32.78305583,13.09206101
181,286.6,38.4,19.52279065,22.80332922,3.280538574,10.04289132,16.52381905,34.43091302,14.90812238
188,289.9,39.6,17.66561521,20.99321267,3.327597453,-1.004128054,12.22744765,17.66561472,0
191,286.02,40.44,15.35372448,19.00987625,3.656151772,6.89265618,19.39634597,28.65880639,13.30508191
194,286.87,40.68,15.58682233,19.23194759,3.645125254,-2.121922301,14.22023623,15.58682192,0
198,287.19,40.78,15.79057154,19.42605859,3.635487052,10.10988169,18.00202952,31.44776742,15.65719588
205,286.94,41.23,15.63139247,19.27440937,3.643016897,8.125503049,15.48586636,28.39635449,12.76496202
210,288.66,41.57,13.78152838,17.34773667,3.566208292,9.563376413,16.44479628,28.23066324,14.44913487
211,288.66,41.57,13.78152838,17.34773667,3.566208292,-6.595013171,4.296781603,13.78152818,0
