isolate.code,genus,species,name,group,temperature,r,ln.r
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,17.184,0.252,-1.378326191
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,17.201,0.239,-1.431291727
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,17.208,0.265,-1.328025453
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,19.088,0.293,-1.22758267
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,19.095,0.27,-1.30933332
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,19.105,0.269,-1.313043899
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,20.794,0.32,-1.139434283
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,20.805,0.277,-1.283737773
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,20.813,0.293,-1.22758267
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,22.893,0.32,-1.139434283
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,22.902,0.262,-1.339410775
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,22.907,0.331,-1.105636904
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,24.893,0.224,-1.496109227
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,24.893,0.307,-1.180907531
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,24.897,0.272,-1.301953213
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,26.897,0.251,-1.38230234
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,26.897,0.243,-1.414693836
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,26.898,0.173,-1.754463684
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,29.485,0.175,-1.742969305
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,29.5,0.267,-1.320506621
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,31.28,0.221,-1.509592577
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,31.292,0.27,-1.30933332
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,31.302,0.216,-1.532476871
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,32.877,0.321,-1.136314156
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,32.89,0.228,-1.47840965
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,32.893,0.21,-1.560647748
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,36.184,0.091,-2.396895772
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,36.196,0.12,-2.120263536
651,_Amphidinium,_massartii,_CS-259,dinoflagellates,36.206,0.171,-1.766091722
652,_Emiliania,_huxleyi,M10,coccolithophores,8,0.469,-0.757152511
652,_Emiliania,_huxleyi,M10,coccolithophores,15,1.226,0.203756838
652,_Emiliania,_huxleyi,M10,coccolithophores,18,1.296,0.259282598
652,_Emiliania,_huxleyi,M10,coccolithophores,22,1.576,0.454889991
652,_Emiliania,_huxleyi,M10,coccolithophores,26,1.218,0.197210169
652,_Emiliania,_huxleyi,M10,coccolithophores,27,1.02,0.019802627
652,_Emiliania,_huxleyi,M10,coccolithophores,28,0.815,-0.204567166
653,_Emiliania,_huxleyi,M13,coccolithophores,8,0.379,-0.970219074
653,_Emiliania,_huxleyi,M13,coccolithophores,15,1.101,0.096218858
653,_Emiliania,_huxleyi,M13,coccolithophores,18,1.243,0.217527813
653,_Emiliania,_huxleyi,M13,coccolithophores,22,1.463,0.380489122
653,_Emiliania,_huxleyi,M13,coccolithophores,26,1.415,0.347129531
653,_Emiliania,_huxleyi,M13,coccolithophores,27,1.427,0.355574338
653,_Emiliania,_huxleyi,M13,coccolithophores,28,1.167,0.154436353
654,_Emiliania,_huxleyi,M19,coccolithophores,8,0.429,-0.84629836
654,_Emiliania,_huxleyi,M19,coccolithophores,15,1.233,0.209450224
654,_Emiliania,_huxleyi,M19,coccolithophores,18,1.325,0.281412459
654,_Emiliania,_huxleyi,M19,coccolithophores,22,1.553,0.440188544
654,_Emiliania,_huxleyi,M19,coccolithophores,26,1.18,0.165514438
654,_Emiliania,_huxleyi,M19,coccolithophores,27,0.827,-0.189950584
654,_Emiliania,_huxleyi,M19,coccolithophores,28,0.723,-0.324346057
655,_Emiliania,_huxleyi,M21,coccolithophores,8,0.425,-0.85566611
655,_Emiliania,_huxleyi,M21,coccolithophores,15,1.187,0.171429116
655,_Emiliania,_huxleyi,M21,coccolithophores,18,1.314,0.27307592
655,_Emiliania,_huxleyi,M21,coccolithophores,22,1.553,0.440188544
655,_Emiliania,_huxleyi,M21,coccolithophores,26,1.459,0.37775127
655,_Emiliania,_huxleyi,M21,coccolithophores,27,1.169,0.156148682
655,_Emiliania,_huxleyi,M21,coccolithophores,28,0.964,-0.036663984
656,_Emiliania,_huxleyi,M22,coccolithophores,8,0.367,-1.002393431
656,_Emiliania,_huxleyi,M22,coccolithophores,15,1.164,0.151862349
656,_Emiliania,_huxleyi,M22,coccolithophores,18,1.334,0.288181947
656,_Emiliania,_huxleyi,M22,coccolithophores,22,1.56,0.444685821
656,_Emiliania,_huxleyi,M22,coccolithophores,26,1.377,0.31990722
