"","isolate.code","source","isolation.latitude","isolation.longitude","habitat","name","speciesname","former.name.1","former.name.2","strain","clone","species","genus","family","order","class","phylum","kingdom","domain","comment","group","mu.rsqrlist","mu.wlist","mu.alist","mu.blist","mu.c.opt.list","mu.c.opt.val.list","mu.g.opt.list","mu.g.opt.val.list","mu.n","tmin","tmax","minqual","maxqual","lowerbound","upperbound","growth.change.inc","growth.change.dec"
"1",7,"Southern Ocean, Indian sector",-58,62,"marine","Chaetoceros deflandrei","Chaetoceros deflandrei","","","","","deflandrei","Chaetoceros","Chaetocerotaceae","Chaetocerotales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.","diatoms","0.453877469",54.73300849,0.387864648,0.160492252,-11.05195393,0.065818665,10.78428942,0.795520167,19,-38.41845817,16.31455032,"bad","good",-5.26745817,15.87128942,0.039647778538237,0.125106375781404
"2",8,"Southern Ocean, Indian sector",-58,62,"marine","Corethron pennatum","Corethron pennatum","Corethron criophilum","","","","pennatum","Corethron","Corethraceae","Corethrales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.","diatoms","0.898849698",36.2699846,0.411815644,0.228541607,-11.17516829,0.032027178,3.104546875,0.31813072,10,-29.31016059,6.959824004,"bad","good",-8.03916059,6.650546875,0.0228384114352736,0.0717723000564016
"3",9,"Southern Ocean, Indian sector",-58,62,"marine","Fragilariopsis cylindrus","Fragilariopsis cylindrus","Nitzschia cylindrus","","","","cylindrus","Fragilariopsis","Bacillariaceae","Bacillariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.","diatoms","0.771290306",60.78701235,1.154743188,0.154104944,-20.04789488,0.052570416,4.541611732,0.803222422,12,-50.44140105,10.3456113,"bad","good",-12.37140105,9.880611732,0.0379931089677811,0.120355485596554
"4",10,"Southern Ocean, Indian sector",-58,62,"marine","Fragilariopsis kerguelensis","Fragilariopsis kerguelensis","Nitzschia kerguelensis","","","","kerguelensis","Fragilariopsis","Bacillariaceae","Bacillariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.","diatoms","0.963297341",46.72698306,0.945593934,0.209331833,-15.37163266,0.03786553,3.69804854,0.684499727,10,-38.73512419,7.991858874,"bad","good",-8.84412419,7.64804854,0.0436606793247377,0.138632856101266
"5",11,"Southern Ocean, Indian sector",-58,62,"marine","Pseudo-nitzschia turgiduloides","Pseudo-nitzschia turgiduloides","Nitzschia turgiduloides","","","","turgiduloides","Pseudo-nitzschia","Bacillariaceae","Bacillariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.","diatoms","0.981582556",10.43111649,0.643384278,0.029396341,3.850833118,0.720497959,4.248702399,0.724732101,12,-1.364725126,9.066391361,"good","good",-0.725725126,8.587702399,0.116553247159833,0.133621959161097
"6",12,"Southern Ocean, Indian sector",-58,62,"marine","Stellarima microtrias","Stellarima microtrias","","","","","microtrias","Stellarima","Coscinodiscaceae","Coscinodiscales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.","diatoms","0.986057174",53.6380976,1.365336985,0.200531148,-18.77756582,0.031616202,3.514375478,0.853921727,8,-45.59661462,8.041482978,"bad","good",-9.76961462,7.679375478,0.0514256165926269,0.164018579015606
"7",13,"Southern Ocean, Indian sector",-58,62,"marine","Synedra sp.","Synedra ","","","","","","Synedra","Fragilariaceae","Fragilariales","Bacillariophyceae","Ochrophyta","Chromista","Eukaryota","Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.","diatoms","0.952431168",54.91333473,0.763904447,0.263032761,-19.40192814,0.00464179,4.514879836,0.604254194,8,-46.85859551,8.054739224,"bad","good",-5.97059551,7.771879836,0.0461021879551134,0.148419820448265
"8",14,"Big Glory Bay, New Zealand",-46.98,168.12,"marine","Emiliania huxleyi","Emiliania huxleyi","Coccolithus huxleyi","","","","huxleyi","Emiliania","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.999974775",19.98928113,0.309317557,0.057277263,20.00589356,0.97287079,22.66390315,1.052731206,5,10.01125299,30.00053413,"good","good",11.91125299,29.34590315,0.0783234786092957,0.126037857647411
"9",15,"West New Zealand",-42.18,169.5,"marine","Emiliania huxleyi R strain TQ26","Emiliania huxleyi","Coccolithus huxleyi","","R strain TQ26","","huxleyi","Emiliania","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.953963831",28.3163893,0.117011206,0.14093529,12.37260556,0.6691488,21.11438303,1.419435423,6,-1.785589088,26.53080021,"bad","good",7.274410912,26.08938303,0.0820484556412601,0.228250922291457
"10",24,"SW Pacific Ocean",-36.3,174.81,"marine","Gephyrocapsa oceanica strain AB1, CAWPOT","Gephyrocapsa oceanica","","","AB1, CAWPOT","","oceanica","Gephyrocapsa","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Haptophyta","Chromista","Eukaryota","","coccolithophores","0.81239903",24.90111734,0.26227299,0.068890873,17.68669798,0.886993776,22.29491187,1.051500332,14,5.236139316,30.13725665,"good","good",8.439139316,29.46291187,0.0607111774043343,0.117354947767857
